,id,first,last,,state,party
0,A000374,Ralph,Abraham,,LA,Republican
1,A000370,Alma,Adams,,NC,Democrat
2,A000055,Robert,Aderholt,,AL,Republican
3,A000371,Peter,Aguilar,,CA,Democrat
4,A000372,Rick,Allen,,GA,Republican
5,A000376,Colin,Allred,,TX,Democrat
6,A000367,Justin,Amash,,MI,"Republican, Independent, Libertarian"
7,A000369,Mark,Amodei,,NV,Republican
8,A000377,Kelly,Armstrong,,ND,Republican
9,A000375,Jodey,Arrington,,TX,Republican
10,A000378,Cynthia,Axne,,IA,Democrat
11,B001291,Brian,Babin,,TX,Republican
12,B001298,Donald,Bacon,,NE,Republican
13,B001307,James,Baird,,IN,Republican
14,B001306,Troy,Balderson,,OH,Republican
15,B001299,James,Banks,,IN,Republican
16,B001282,Garland,Barr,,KY,Republican
17,B001300,Nanette,Barragán,,CA,Democrat
18,B001270,Karen,Bass,,CA,Democrat
19,B001281,Joyce,Beatty,,OH,Democrat
20,B001287,Ami,Bera,,CA,Democrat
21,B001301,John,Bergman,,MI,Republican
22,B001292,Donald,Beyer,,VA,Democrat
23,B001302,Andrew,Biggs,,AZ,Republican
24,B001257,Gus,Bilirakis,,FL,Republican
25,B000490,Sanford,Bishop,,GA,Democrat
26,B001311,Dan,Bishop,,NC,Republican
27,B001250,Robert,Bishop,,UT,Republican
28,B000574,Earl,Blumenauer,,OR,Democrat
29,B001303,Lisa,Blunt Rochester,,DE,Democrat
30,B001278,Suzanne,Bonamici,,OR,Democrat
31,B001295,Mike,Bost,,IL,Republican
32,B001296,Brendan,Boyle,,PA,Democrat
33,B000755,Kevin,Brady,,TX,Republican
34,B001308,Anthony,Brindisi,,NY,Democrat
35,B001274,Mo,Brooks,,AL,Republican
36,B001284,Susan,Brooks,,IN,Republican
37,B001304,Anthony,Brown,,MD,Democrat
38,B001285,Julia,Brownley,,CA,Democrat
39,B001260,Vernon,Buchanan,,FL,Republican
40,B001297,Kenneth,Buck,,CO,Republican
41,B001275,Larry,Bucshon,,IN,Republican
42,B001305,Theodore,Budd,,NC,Republican
43,B001309,Timothy,Burchett,,TN,Republican
44,B001248,Michael,Burgess,,TX,Republican
45,B001286,Cheri,Bustos,,IL,Democrat
46,B001251,George,Butterfield,,NC,Democrat
47,B001289,Bradley,Byrne,,AL,Republican
48,C000059,Ken,Calvert,,CA,Republican
49,C001112,Salud,Carbajal,,CA,Democrat
50,C001072,André,Carson,,IN,Democrat
51,C001051,John,Carter,,TX,Republican
52,C001103,Buddy,Carter,,GA,Republican
53,C001090,Matt,Cartwright,,PA,Democrat
54,C001055,Ed,Case,,HI,Democrat
55,C001117,Sean,Casten,,IL,Democrat
56,C001066,Kathy,Castor,,FL,Democrat
57,C001091,Joaquin,Castro,,TX,Democrat
58,C000266,Steve,Chabot,,OH,Republican
59,C001109,Liz,Cheney,,WY,Republican
60,C001080,Judy,Chu,,CA,Democrat
61,C001084,David,Cicilline,,RI,Democrat
62,C001123,Gil,Cisneros,,CA,Democrat
63,C001101,Katherine,Clark,,MA,Democrat
64,C001067,Yvette,Clarke,,NY,Democrat
65,C001049,William,Clay,,MO,Democrat
66,C001061,Emanuel,Cleaver,,MO,Democrat
67,C001118,Benjamin,Cline,,VA,Republican
68,C001115,Michael,Cloud,,TX,Republican
69,C000537,James,Clyburn,,SC,Democrat
70,C001068,Stephen,Cohen,,TN,Democrat
71,C001053,Tom,Cole,,OK,Republican
72,C001092,Chris,Collins,,NY,Republican
73,C001093,Doug,Collins,,GA,Republican
74,C001108,James,Comer,,KY,Republican
75,C001062,K.,Conaway,,TX,Republican
76,C001078,Gerald,Connolly,,VA,Democrat
77,C001094,Paul,Cook,,CA,Republican
78,C000754,James,Cooper,,TN,Democrat
79,C001110,Jose,Correa,,CA,Democrat
80,C001059,Jim,Costa,,CA,Democrat
81,C001069,Joe,Courtney,,CT,Democrat
82,C001124,TJ,Cox,,CA,Democrat
83,C001119,Angela,Craig,,MN,Democrat
84,C001087,Rick,Crawford,,AR,Republican
85,C001120,Daniel,Crenshaw,,TX,Republican
86,C001111,Charlie,Crist,,FL,Democrat
87,C001121,Jason,Crow,,CO,Democrat
88,C001063,Henry,Cuellar,,TX,Democrat
89,C000984,Elijah,Cummings,,MD,Democrat
90,C001122,Joe,Cunningham,,SC,Democrat
91,C001114,John,Curtis,,UT,Republican
92,C001097,Tony,Cárdenas,,CA,Democrat
93,D000629,Sharice,Davids,,KS,Democrat
94,D000626,Warren,Davidson,,OH,Republican
95,D000598,Susan,Davis,,CA,Democrat
96,D000096,Danny,Davis,,IL,Democrat
97,D000619,Rodney,Davis,,IL,Republican
98,D000631,Madeleine,Dean,,PA,Democrat
99,D000191,Peter,Defazio,,OR,Democrat
100,D000197,Diana,Degette,,CO,Democrat
101,D000216,Rosa,Delauro,,CT,Democrat
102,D000617,Suzan,Delbene,,WA,Democrat
103,D000630,Antonio,Delgado,,NY,Democrat
104,D000627,Valdez,Demings,,FL,Democrat
105,D000623,Mark,Desaulnier,,CA,Democrat
106,D000616,Scott,Desjarlais,,TN,Republican
107,D000610,Theodore,Deutch,,FL,Democrat
108,D000600,Mario,Diaz-Balart,,FL,Republican
109,D000624,Debbie,Dingell,,MI,Democrat
110,D000399,Lloyd,Doggett,,TX,Democrat
111,D000482,Michael,Doyle,,PA,Democrat
112,D000614,Sean,Duffy,,WI,Republican
113,D000615,Jeff,Duncan,,SC,Republican
114,D000628,Neal,Dunn,,FL,Republican
115,E000294,Thomas,Emmer,,MN,Republican
116,E000179,Eliot,Engel,,NY,Democrat
117,E000299,Veronica,Escobar,,TX,Democrat
118,E000215,Anna,Eshoo,,CA,Democrat
119,E000297,Adriano,Espaillat,,NY,Democrat
120,E000298,Ron,Estes,,KS,Republican
121,E000296,Dwight,Evans,,PA,Democrat
122,F000465,Anderson,Ferguson,,GA,Republican
123,F000467,Abby,Finkenauer,,IA,Democrat
124,F000466,Brian,Fitzpatrick,,PA,Republican
125,F000459,Chuck,Fleischmann,,TN,Republican
126,F000468,Elizabeth,Fletcher,,TX,Democrat
127,F000461,Bill,Flores,,TX,Republican
128,F000449,Jeff,Fortenberry,,NE,Republican
129,F000454,Bill,Foster,,IL,Democrat
130,F000450,Virginia,Foxx,,NC,Republican
131,F000462,Lois,Frankel,,FL,Democrat
132,F000455,Marcia,Fudge,,OH,Democrat
133,F000469,Russell,Fulcher,,ID,Republican
134,G000061,Mike,GARCIA,,CA,Republican
135,G000571,Tulsi,Gabbard,,HI,Democrat
136,G000578,Matthew,Gaetz,,FL,Republican
137,G000579,Michael,Gallagher,,WI,Republican
138,G000574,Ruben,Gallego,,AZ,Democrat
139,G000559,John,Garamendi,,CA,Democrat
140,G000587,Sylvia,Garcia,,TX,Democrat
141,G000586,Jesús,García,,IL,Democrat
142,G000584,Greg,Gianforte,,MT,Republican
143,G000563,Bob,Gibbs,,OH,Republican
144,G000552,Louie,Gohmert,,TX,Republican
145,G000592,Jared,Golden,,ME,Democrat
146,G000585,Jimmy,Gomez,,CA,Democrat
147,G000588,Anthony,Gonzalez,,OH,Republican
148,G000581,Vicente,Gonzalez,,TX,Democrat
149,G000589,Lance,Gooden,,TX,Republican
150,G000565,Paul,Gosar,,AZ,Republican
151,G000583,Josh,Gottheimer,,NJ,Democrat
152,G000377,Kay,Granger,,TX,Republican
153,G000577,Garret,Graves,,LA,Republican
154,G000546,Samuel,Graves,,MO,Republican
155,G000560,Tom,Graves,,GA,Republican
156,G000553,Al,Green,,TX,Democrat
157,G000590,Mark,Green,,TN,Republican
158,G000568,H.,Griffith,,VA,Republican
159,G000551,Raúl,Grijalva,,AZ,Democrat
160,G000576,Glenn,Grothman,,WI,Republican
161,G000591,Michael,Guest,,MS,Republican
162,G000558,Brett,Guthrie,,KY,Republican
163,H001080,Debra,Haaland,,NM,Democrat
164,H001088,Jim,Hagedorn,,MN,Republican
165,H001092,Kwanza,Hall,,GA,Democrat
166,H001090,Josh,Harder,,CA,Democrat
167,H001052,Andy,Harris,,MD,Republican
168,H001053,Vicky,Hartzler,,MO,Republican
169,H000324,Alcee,Hastings,,FL,Democrat
170,H001081,Jahana,Hayes,,CT,Democrat
171,H001064,Denny,Heck,,WA,Democrat
172,H001082,Kevin,Hern,,OK,Republican
173,H001056,Jaime,Herrera Beutler,,WA,Republican
174,H001071,Jody,Hice,,GA,Republican
175,H001038,Brian,Higgins,,NY,Democrat
176,H001077,Clay,Higgins,,LA,Republican
177,H001072,French,Hill,,AR,Republican
178,H001087,Katie,Hill,,CA,Democrat
179,H001047,James,Himes,,CT,Democrat
180,H001065,George,Holding,,NC,Republican
181,H001074,Joseph,Hollingsworth,,IN,Republican
182,H001083,Kendra,Horn,,OK,Democrat
183,H001066,Steven,Horsford,,NV,Democrat
184,H001085,Christina,Houlahan,,PA,Democrat
185,H000874,Steny,Hoyer,,MD,Democrat
186,H001067,Richard,Hudson,,NC,Republican
187,H001068,Jared,Huffman,,CA,Democrat
188,H001058,Bill,Huizenga,,MI,Republican
189,H001048,Duncan,Hunter,,CA,Republican
190,H001073,William,Hurd,,TX,Republican
