,name,gender,follower_count,voteup_count,comment_count,url,content
0,李修宇,1,9394,262,25,https://www.zhihu.com/api/v4/answers/1404867035,<p>得看哪种民族主义了。</p><p>“内诛国贼外张国权”是一种民族主义，“为xx民族争夺生存空间”“个人应该为国家/民族无条件牺牲”是另一种民族主义。在前一种民族主义里，民族主义是为了人民的解放，民族因为一个个个体的承认而神圣，它鼓舞了从法国革命到五四运动全世界受压迫的人民站起来，暴君和入侵者一同被这个民族主义给扫清。在第二种民族主义里，民族主义无非是在宗教和专制君主之外，某些人请出来的另一个让老百姓下跪的对象，是一个拿出来煽动情绪转移矛盾的工具。这种民族主义最终造成的是一战二战数千万的军民伤亡。</p><p>所以，如果问，现在我们是否需要五四时期的民族主义，对外改善国际地位，对内推动社会向着更好的方向变革，那我们是需要的。但是如果问，现在我们是否需要某些人那种昭和风满满的民族主义，那么恐怕不需要，而且还要警惕，要批判，善良而温和的老百姓不能被这样的情绪拖入招核的末路。</p>
1,El Facil,1,86240,359,13,https://www.zhihu.com/api/v4/answers/1665462095,<p>我从没见过会给外国人免试入学985还每年补助10万元的民族主义国家。也许我们应该稍微民族主义一点，至少保证我们自己是被平等对待的吧？</p>
2,知乎用户,1,192502,449,38,https://www.zhihu.com/api/v4/answers/1579852996,<p>先有民族主义以后，再说对发展的好坏吧。</p><p></p>
3,刀剑胜于书,-1,118,126,2,https://www.zhihu.com/api/v4/answers/1431123094,<p>因果反了，先有矛盾后有主义。</p><p>不想着解决矛盾，却揪着主义不放，这是头疼医头脚疼医脚，唯恐天下还不够乱呢？</p>
4,贫民王子教派领军,-1,446,145,12,https://www.zhihu.com/api/v4/answers/1410706122,"<p>问：肾上腺素对于中国人的成长是好是坏？</p><p>答：肾上腺素是可以让处于生命危险的人，短暂的起死回生，以此配合后续的治疗。</p><p>问：光靠肾上腺素人能不能正常生活？</p><p>答：肾上腺素属于医疗急救用品，平时使用会有危险。正常人也不会随便喝人参汤，除非体质虚弱</p><p class=""ztext-empty-paragraph""><br/></p><p>把民族主义换成肾上腺素你就明白了，民族主义是每一个民族，每一个国家都需要的“医疗救济品”。平时没有人会用，但是危难时期民族主义犹如一剂强心针，一碗千年人参汤一样可以令国家令民族起死回生。</p><p>民族主义就像人类体内的巨噬细胞一样，是国家和民族内部忠诚的护卫。平时不会调用这类细胞。但是当病魔入侵，非它出动不可。</p><p>设想一下，14年抗日战争中。如果我们没有民族主义，或者民族主义被投降派的虚情假意所扭曲。人民被逆向民族主义，投降主义的宣传所迷惑。减弱甚至放弃自己的抵抗，那时候的四分五裂军阀割据的中国根本撑不到美国对日宣战就会灭亡。</p><p>没有你们所鄙视的中华民族主义，你告诉我二战时的中国要怎么扭转和日本之间悬殊的工业差距？</p><p><b>没有民族主义，中国军民要怎么在总共3500万人的伤亡，26个省区和1500个县市落入敌手。抗战后期工业产值近乎为零的情况下，靠着在同胞的血肉之间游走与敌周旋至珍珠港大事变？</b></p><p>你去问问那些参军入伍的中国士兵，他们是为了什么而战。是为了委员长吗？是为了汪主席吗？是为了四大家族千秋万代吗？是为了什么？是为了中华民族，当然这个概念在当时听起来很奇怪，很宽泛。很虚无缥缈，但这就够了。</p><p><b>他们知道为何而战。</b></p><p class=""ztext-empty-paragraph""><br/></p><p><b>以前民族主义能够守护中国，现在这种主义也没有过时。现在抛弃民族主义无异于，刚刚抵抗病毒获得胜利的我们随机停止了白细胞的生产。任由外面的威胁侵蚀我们！</b></p><p><b>这种行为和想法是愚蠢的，如果这不是愚蠢的。那就是别有用心。</b></p><p></p>"
5,陳子浩,1,52637,211,5,https://www.zhihu.com/api/v4/answers/1415836149,<p>世界上一切主义都是好的，都可以被说的天花乱坠，但是都无法逃脱3个命运:</p><p>用不上</p><p>做过头</p><p>念歪经</p><p>一直反复说“他们不是真正的xx”是不管用的，因为走歪和走错也是各主义的一部分。讨论各主义的优劣合适与否，也必须考虑其过激和偏离可能带来的后果。</p><p>至于民族主义如何，大家见仁见智吧。</p>
6,天知,1,35551,213,34,https://www.zhihu.com/api/v4/answers/1411659536,<p>同样是一名XX员，为什么中国XX员的年收入是10万人民币，美国的却是10万美元？</p><p>是中国“企业家”剥削比美国更狠导致的吗？但当我想到中国人均GDP是1万美元而美国人均GDP是6万美元时，我很容易就联想到我和美国人收入的巨大差距是和国籍有关。</p><p>在广西和越南接壤的地区，广西人收甘蔗的工作早已转嫁给偷渡过来打黑工的越南人，一天给100块，打黑工的越南人会下死命帮你干——因为100块一天对他们来说是极高的报酬，一如当年中国人跑去美国洗盘子那样。</p><p>民族主义到底是好是坏，不应该以其极端形态为标准样本来研究，任何事物发展到极端，都很难是合理的。极端爱干净，那叫洁癖；极端讲原则，那叫不近人情；甚至极端舍己为人的人也一定会把自己的生活过得很糟糕。所以不要以“极端”的偏来盖“民族主义”的全。</p><p>世界上没有一个国家不需要构建共同的身份认同，哪怕是纯移民国家美国，他们也需要有一些强调身份的东西(比如自由国度的人、最强国度的人)来维系每个自然人对国家的效忠。但很显然，对于世界绝大多数国家来说，他们不是美国，甚至不是发达国家，做不到靠利益和实力凝聚人。对于绝大多数国家来说容易做到的是以血缘和文化来凝聚人——因为同化的族群恰巧就是多数国家形成的基础，即“民族国家”是常态，“去中心非民族国家”是特例。</p><p>对于中国来说也一样，无论采取什么办法，也总需要构建共同的身份认同来维系这个国家的存在。</p><p>现在的问题就在于：</p><p>1，是否应该以民族主义的方式构建共同身份认同？</p><p>2，如果不利用民族主义的方式，是否还有其他方法可以维系中国人的身份认同？</p><p>我暂时不想展开讨论以上两个问题，我想先说另一个问题：民族主义是否仅仅是意识形态问题。</p><p>对于很多身为多数民族的汉族人来说会以为“是的”，民族主义只是一种可在意可不在意的意识形态，但实际上，民族主义和你的生活深度挂钩——意味着你是可以按你固有的生活方式、习惯和观念去生活，还是不得不放弃自己的生活方式、习惯和观念。说具体点，民族主义就是你不但自己在家可以用筷子吃大米饭白面条，而且出门以后街上开的到处是火锅店、湘菜馆、粤菜茶楼，小摊卖的是煎饼果子、烤冷面和热干面。</p><p>就狭义的民族主义来说，汉族人应该思考为什么美国白人“红脖子”现在很愤怒，应该思考为什么欧洲民众也开始出现生活困扰(黑欧洲、绿法国)，我们中国确实远远没有到那一步，但如果我们不讲民族主义，如果我们拥抱“包容”的政治正确，我们终有一天会用不可调和的族群矛盾逼出一群中国“红脖子”。那时候再讲民族主义就晚了——恰如非要到发生安史之乱才转发夹弯走向极端保守，那就晚了。</p><p>就广义的民族主义来说，中国的56个民族虽然民族身份认同不同，但是生活习性上是接近的，我们如何对内融合成统一的新民族，对外如何保卫我们这些相近的生活方式，是重要的课题。有人认为所谓民族平等就是各民族永远不要融合，反过来还要强化各民族的差异，我想这种“政治正确”其实是大错特错的，要不得，这会导致矛盾增多，导致国家分裂，导致内战和死亡。民族平等和民族融合并不对立，因为56个民族是可以族格平等地融合的。这种平等融合没办法做到90%的汉族和1%的该族按1比1的比例去融合文化，但至少能做到使各民族的文化都包含到新民族的文化中来。汉族是融合来的(华夏主干融入东夷)，蒙古族是融合来的(蒙古汗国国族)，满族也是融合来的(后金的国人外加汉八旗后代)，甚至藏、维、回也都是融合来的，那么为什么不能更进一步融合成新的民族呢？说不可以的人显然双标和别有用心。</p><p>总之，民族主义对于中国来说，不是好坏的问题，而是没有它不行的问题。有的人害怕讲民族主义就会和少民同胞闹矛盾，殊不知就国际而言，56个民族的中国人本来就拥有共同的广义民族主义，而对于狭义民族主义来说，民族融合也是长期来看的必要发展方向。有些事，不是说难做你就可以不面对，不是你不面对问题就消失。</p><p>民族主义是把双刃剑，但做饭总不能不用刀吧？</p>
7,卫凌贞,0,118289,156,10,https://www.zhihu.com/api/v4/answers/1671168181,<p>你说的民族主义首先是哪个民族，对非本民族持什么态度，和它对立的是什么主义，我是一问三不知。</p><p>在这种情况下，是无法讨论民族主义对中国是好是坏的。</p>
8,李建秋,1,558463,5399,509,https://www.zhihu.com/api/v4/answers/1415702606,"<p>各位对于“民族主义”还在辩经阶段。</p><p>辩经那叫“民族主义”？</p><p>哪国民族主义是靠辩经来的？</p><p>什么是真正的民族主义？去Quora看看。</p><figure data-size=""normal""><noscript><img src=""https://pic2.zhimg.com/50/v2-7d352e4f4e23de0864e7d886699c559e_720w.jpg?source=1940ef5c"" data-caption="""" data-size=""normal"" data-rawwidth=""650"" data-rawheight=""741"" data-default-watermark-src=""https://pic1.zhimg.com/50/v2-0ca26cb54fbd2b223267f62d62788253_720w.jpg?source=1940ef5c"" class=""origin_image zh-lightbox-thumb"" width=""650"" data-original=""https://pic3.zhimg.com/v2-7d352e4f4e23de0864e7d886699c559e_r.jpg?source=1940ef5c""/></noscript><img src=""data:image/svg+xml;utf8,&lt;svg xmlns=&#39;http://www.w3.org/2000/svg&#39; width=&#39;650&#39; height=&#39;741&#39;&gt;&lt;/svg&gt;"" data-caption="""" data-size=""normal"" data-rawwidth=""650"" data-rawheight=""741"" data-default-watermark-src=""https://pic1.zhimg.com/50/v2-0ca26cb54fbd2b223267f62d62788253_720w.jpg?source=1940ef5c"" class=""origin_image zh-lightbox-thumb lazy"" width=""650"" data-original=""https://pic3.zhimg.com/v2-7d352e4f4e23de0864e7d886699c559e_r.jpg?source=1940ef5c"" data-actualsrc=""https://pic2.zhimg.com/50/v2-7d352e4f4e23de0864e7d886699c559e_720w.jpg?source=1940ef5c""/></figure><p class=""ztext-empty-paragraph""><br/></p><p>中国对印度最大的恐惧是什么？</p><p>印度的军队久经考验，上次冲突中国伤亡人数是印度五倍。</p><p>印度市最受欢迎的国家，美国，德国，英国，法国，加拿大，澳大利亚，日本等国都非常愿意为印度提供武器弹药和后勤保障，让中国感到害怕。</p><p>印度控制印度洋，对中国有威慑作用</p><p>印度是中国最大的客户之一，可以让中国损失数千亿美元。</p><p>拥有喜马拉雅山天然屏障，印度可以轻松爬山，但是中国不能。</p><p><br/>下面印度人纷纷鼓掌点赞。</p><p>不光是印度人，我都看到中国人纷纷点赞，其中一个叫程楚阳的人说：“您是绝对正确的，印度如此强大。”</p><p>看到什么叫“民族主义”没？</p><p>就中国这种辩经方式：哎呀你看我们这几年发展的很快，物质生活得到了很大改善，基础建设如何如何，这叫民族主义？</p><p>什么时候见过民族主义是靠说理了？</p><p>就上面那个印度人纷纷点赞的帖子，要是改头换面，什么结果？</p><ul><li>说朝鲜战争美军伤亡是中国五倍。</li><li>说周边国家都帮中国，没人帮美国的。</li><li>说中国控制重要航道，遏制美国出口进口。</li><li>说中国不给美国出口货物，美国人就要饿死。</li></ul><p>这种话说出来，知乎不是炸了吗？</p><p>谁敢说得出口？</p><p>但是印度可以啊。其实很多国家都敢这么讲。</p><p>2018年，印度GDP2.7万亿，中国GDP13.6万亿，印度仅为中国五分之一，20%左右。</p><p>美国GDP为20.5万亿，中国是美国的66.3%左右。</p><p>中国GDP成长比美国快得多，但是印度GDP成长未见的比中国快，今年印度GDP保证跌成哈士奇。</p><p>但是人家印度人敢讲，中国人就不敢讲。</p><p>就中国人辩经这能力，这叫“民族主义”？</p><p>甭开玩笑了成吗？</p><p></p>"
9,FanFanFan,1,691776,1542,125,https://www.zhihu.com/api/v4/answers/1405129107,<p>各路友人都提到了民族主义对一个共同体的 “底线”、“下限”、“底裤” 的作用，说得很对，我就不再复读了。</p><p>想复读的是另一个意思：</p><p>“你” 若是觉得过度的民族主义是 “不好” 的，可以，没问题，毕竟我也这么觉得。但任何评价，都是比较出来的。这个比较，可以是和平行的现实存在去比较，也可以和你心中的空想标杆去比较。而只要存在比较，且 “你” 做出了评价，那就最好尽量避免双标。否则，就很难说 “你” 到底是在批判 “民族主义” 本身，还是在暴露立场。</p><p>然后，如果一个人无法认识到并深切认同，当今全球，规模和烈度最为宏大和深远的民族主义，即 “犹-基-盎-撒” 民族主义的话，那么这个人基本上就直接失去了 “客观” 评价 “民族主义” 的资格了，而只会暴露立场和屁股。</p>
